epoch,step,test_accuracy,test_loss,train_accuracy,train_loss,val_accuracy,val_loss
0,499,,,,,0.8037109375,0.4184306859970093
0,499,,,0.8330742120742798,0.3762693703174591,,
1,999,,,,,0.83807373046875,0.3555751144886017
1,999,,,0.8624843955039978,0.3202691376209259,,
2,1499,,,,,0.81884765625,0.40809595584869385
2,1499,,,0.8709609508514404,0.30360373854637146,,
3,1999,,,,,0.8157958984375,0.41679805517196655
3,1999,,,0.8805898427963257,0.2847651541233063,,
4,2499,,,,,0.824188232421875,0.4019325077533722
4,2499,,,0.8871874809265137,0.27212512493133545,,
5,2999,,,,,0.827972412109375,0.3879537284374237
5,2999,,,0.8911406397819519,0.26324212551116943,,
6,3499,,,,,0.81707763671875,0.42704910039901733
6,3499,,,0.9077578186988831,0.22865253686904907,,
7,3999,,,,,0.820220947265625,0.4181712865829468
7,3999,,,0.9136171936988831,0.215497687458992,,
8,4499,,,,,0.82147216796875,0.421823650598526
8,4499,,,0.9172773361206055,0.20840106904506683,,
9,4999,,,,,0.819580078125,0.4325200915336609
9,4999,,,0.919140636920929,0.20317204296588898,,
10,5499,,,,,0.818939208984375,0.43344104290008545
10,5499,,,0.9223007559776306,0.196629136800766,,
11,5999,,,,,0.817596435546875,0.44275543093681335
11,5999,,,0.9230742454528809,0.19520892202854156,,
12,6499,,,,,0.817596435546875,0.4438055753707886
12,6499,,,0.9231562614440918,0.19481870532035828,,
13,6999,,,,,0.817718505859375,0.44430220127105713
13,6999,,,0.9234374761581421,0.19368386268615723,,
14,7499,,,,,0.81817626953125,0.4420102536678314
14,7499,,,0.9243320226669312,0.19269528985023499,,
15,7999,,,,,0.81658935546875,0.44687750935554504
15,7999,,,0.924066424369812,0.1933220624923706,,
16,8499,,,,,0.81964111328125,0.43768566846847534
16,8499,,,0.9232460856437683,0.19380125403404236,,
17,8999,,,,,0.816986083984375,0.44496965408325195
17,8999,,,0.9234374761581421,0.1933220624923706,,
18,9499,,,,,0.819580078125,0.43784642219543457
18,9499,,,0.9246601462364197,0.19201338291168213,,
19,9999,,,,,0.81884765625,0.4420355558395386
19,9999,,,0.9238320589065552,0.19264943897724152,,
20,10499,,,,,0.817413330078125,0.4440115690231323
20,10499,,,0.9236562252044678,0.19276927411556244,,
21,10999,,,,,0.81884765625,0.44171005487442017
21,10999,,,0.9235664010047913,0.1935064047574997,,
22,11499,,,,,0.8154296875,0.44916653633117676
22,11499,,,0.9235937595367432,0.19346831738948822,,
23,11999,,,,,0.8194580078125,0.43855080008506775
23,11999,,,0.9240429401397705,0.1922111064195633,,
24,12499,,,,,0.817474365234375,0.44375964999198914
24,12499,,,0.9242773652076721,0.19247399270534515,,
25,12999,,,,,0.818511962890625,0.44153788685798645
25,12999,,,0.9241718649864197,0.1934092491865158,,
26,13499,,,,,0.8172607421875,0.4449522793292999
26,13499,,,0.9240898489952087,0.19234320521354675,,
27,13999,,,,,0.81829833984375,0.44162604212760925
27,13999,,,0.9240508079528809,0.19257129728794098,,
28,14499,,,,,0.817413330078125,0.4438205063343048
28,14499,,,0.9246679544448853,0.19164657592773438,,
29,14999,,,,,0.816436767578125,0.44735899567604065
29,14999,,,0.9242421984672546,0.19229216873645782,,
30,15000,0.833038330078125,0.3914496600627899,,,,
