epoch,step,test_accuracy,test_loss,train_accuracy,train_loss,val_accuracy,val_loss
0,99,,,,,0.8101333379745483,0.42710623145103455
0,99,,,0.8293750286102295,0.3761887848377228,,
1,199,,,,,0.7940666675567627,0.5455092787742615
1,199,,,0.8871874809265137,0.2728075087070465,,
2,299,,,,,0.8083333373069763,0.4555467963218689
2,299,,,0.9150976538658142,0.21624703705310822,,
3,399,,,,,0.7860000133514404,0.6257753968238831
3,399,,,0.9336718916893005,0.17234882712364197,,
4,499,,,,,0.7876666784286499,0.6987306475639343
4,499,,,0.9473632574081421,0.13746626675128937,,
5,599,,,,,0.7999333143234253,0.866507887840271
5,599,,,0.9822070598602295,0.054189734160900116,,
6,699,,,,,0.8069999814033508,1.0094225406646729
6,699,,,0.9931445121765137,0.021997781470417976,,
7,799,,,,,0.8096666932106018,1.1632053852081299
7,799,,,0.9966992139816284,0.011666092090308666,,
8,899,,,,,0.8118666410446167,1.2553812265396118
8,899,,,0.9979101419448853,0.00793133769184351,,
9,999,,,,,0.8074666857719421,1.3185402154922485
9,999,,,0.9984375238418579,0.00558196846395731,,
10,1099,,,,,0.8076000213623047,1.3353372812271118
10,1099,,,0.9986913800239563,0.004837329499423504,,
11,1199,,,,,0.8071333169937134,1.3612257242202759
11,1199,,,0.9987695217132568,0.004602040164172649,,
12,1299,,,,,0.8065333366394043,1.3720643520355225
12,1299,,,0.9988867044448853,0.004264804534614086,,
13,1399,,,,,0.8042666912078857,1.391343116760254
13,1399,,,0.9990234375,0.004020665772259235,,
14,1499,,,,,0.8065999746322632,1.373152732849121
14,1499,,,0.9989843964576721,0.0037989849224686623,,
15,1599,,,,,0.8080000281333923,1.3646624088287354
15,1599,,,0.9990038871765137,0.003860743250697851,,
16,1699,,,,,0.8076666593551636,1.3683714866638184
16,1699,,,0.9991210699081421,0.0036219218745827675,,
17,1799,,,,,0.8066666722297668,1.3741929531097412
17,1799,,,0.9989258050918579,0.0038532025646418333,,
18,1899,,,,,0.8060666918754578,1.3991575241088867
18,1899,,,0.9990234375,0.0037460040766745806,,
19,1999,,,,,0.8085333108901978,1.3449666500091553
19,1999,,,0.9989648461341858,0.0037691770121455193,,
20,2000,0.798828125,0.43916937708854675,,,,
