SGD_acc,epoch,lr-SGD,lr-SGD-1,step,train_loss,val_loss
,,0.03,0.03,0,,
,0,,,999,,4.310326099395752
0.620086669921875,0,,,999,4.321063041687012,
,,0.02981533126475677,0.03,1000,,
,1,,,1999,,4.310240745544434
,1,,,1999,4.310496807098389,
,,0.029265872216169157,0.03,2000,,
,2,,,2999,,4.31012487411499
,2,,,2999,4.310218334197998,
,,0.028365152359563422,0.03,3000,,
,3,,,3999,,4.31003475189209
,3,,,3999,4.31011962890625,
,,0.027135350407127026,0.03,4000,,
,4,,,4999,,4.309865951538086
0.63714599609375,4,,,4999,4.309924125671387,
,,0.025606748164407618,0.03,5000,,
,5,,,5999,,4.309842586517334
,5,,,5999,4.309887409210205,
,,0.023816984891760953,0.03,6000,,
,6,,,6999,,4.309810161590576
,6,,,6999,4.309849739074707,
,,0.021810130500843333,0.03,7000,,
,7,,,7999,,4.309787750244141
,7,,,7999,4.309819221496582,
,,0.019635600407127026,0.03,8000,,
,8,,,8999,,4.309708118438721
0.650177001953125,8,,,8999,4.309751033782959,
,,0.017346938758370945,0.03,9000,,
,9,,,9999,,4.309685230255127
,9,,,9999,4.309701919555664,
,,0.015000499999999998,0.03,10000,,
,10,,,10999,,4.309662342071533
,10,,,10999,4.309656620025635,
,,0.01265406124162906,0.03,11000,,
,11,,,11999,,4.309638500213623
,11,,,11999,4.309622287750244,
,,0.010365399592872976,0.03,12000,,
,12,,,12999,,4.3095903396606445
0.587066650390625,12,,,12999,4.309581279754639,
,,0.008190869499156667,0.03,13000,,
,13,,,13999,,4.309568881988525
,13,,,13999,4.3095784187316895,
,,0.006184015108239051,0.03,14000,,
,14,,,14999,,4.309545040130615
,14,,,14999,4.309566974639893,
,,0.004394251835592381,0.03,15000,,
,15,,,15999,,4.3095245361328125
,15,,,15999,4.309548854827881,
,,0.002865649592872977,0.03,16000,,
,16,,,16999,,4.30949592590332
0.57489013671875,16,,,16999,4.309495449066162,
,,0.001635847640436577,0.03,17000,,
,17,,,17999,,4.309475421905518
,17,,,17999,4.309481143951416,
,,0.0007351277838308445,0.03,18000,,
,18,,,18999,,4.309454441070557
,18,,,18999,4.309441566467285,
,,0.00018566873524323267,0.03,19000,,
,19,,,19999,,4.309433460235596
,19,,,19999,4.309407711029053,
,,1e-06,0.03,20000,,
,20,,,20999,,4.309411525726318
0.569366455078125,20,,,20999,4.309362411499023,
,,0.000185668735243231,0.03,21000,,
,21,,,21999,,4.309391975402832
,21,,,21999,4.309365749359131,
,,0.0007351277838308412,0.03,22000,,
,22,,,22999,,4.309372425079346
,22,,,22999,4.3093414306640625,
,,0.0016358476404365753,0.03,23000,,
,23,,,23999,,4.309356689453125
,23,,,23999,4.309328079223633,
,,0.0028656495928729734,0.03,24000,,
,24,,,24999,,4.309330463409424
0.64190673828125,24,,,24999,4.309301853179932,
,,0.004394251835592377,0.03,25000,,
,25,,,25999,,4.309311866760254
,25,,,25999,4.309292316436768,
,,0.0061840151082390455,0.03,26000,,
,26,,,26999,,4.309293746948242
,26,,,26999,4.309272289276123,
,,0.00819086949915666,0.03,27000,,
,27,,,27999,,4.309278964996338
,27,,,27999,4.309249401092529,
,,0.010365399592872967,0.03,28000,,
,28,,,28999,,4.3092427253723145
0.609619140625,28,,,28999,4.30918025970459,
,,0.012654061241629046,0.03,29000,,
,29,,,29999,,4.309228897094727
,29,,,29999,4.309172630310059,
,,0.015000499999999986,0.03,30000,,
,30,,,30999,,4.309211730957031
,30,,,30999,4.30914831161499,
,,0.01734693875837093,0.03,31000,,
,31,,,31999,,4.309198379516602
,31,,,31999,4.309132099151611,
,,0.019635600407127012,0.03,32000,,
,32,,,32999,,4.309156894683838
0.68731689453125,32,,,32999,4.309099197387695,
,,0.02181013050084332,0.03,33000,,
,33,,,33999,,4.309142589569092
,33,,,33999,4.309091567993164,
,,0.023816984891760932,0.03,34000,,
,34,,,34999,,4.309129238128662
,34,,,34999,4.309081077575684,
,,0.0256067481644076,0.03,35000,,
,35,,,35999,,4.3091139793396
,35,,,35999,4.309073448181152,
,,0.027135350407127005,0.03,36000,,
,36,,,36999,,4.30907678604126
0.544647216796875,36,,,36999,4.309034824371338,
,,0.0283651523595634,0.03,37000,,
,37,,,37999,,4.3090667724609375
,37,,,37999,4.309022903442383,
,,0.029265872216169133,0.03,38000,,
,38,,,38999,,4.309050559997559
,38,,,38999,4.309000015258789,
,,0.029815331264756745,0.03,39000,,
,39,,,39999,,4.309041500091553
,39,,,39999,4.308982849121094,
,,0.029999999999999978,0.03,40000,,
,40,,,40999,,4.3090081214904785
0.69830322265625,40,,,40999,4.308927059173584,
,,0.029815331264756748,0.03,41000,,
,41,,,41999,,4.308994770050049
,41,,,41999,4.308920383453369,
,,0.029265872216169136,0.03,42000,,
,42,,,42999,,4.308984279632568
,42,,,42999,4.3089070320129395,
,,0.028365152359563408,0.03,43000,,
,43,,,43999,,4.3089728355407715
,43,,,43999,4.308892250061035,
,,0.02713535040712702,0.03,44000,,
,44,,,44999,,4.308948516845703
0.56109619140625,44,,,44999,4.308856010437012,
,,0.025606748164407608,0.03,45000,,
,45,,,45999,,4.308938980102539
,45,,,45999,4.3088603019714355,
,,0.023816984891760942,0.03,46000,,
,46,,,46999,,4.308926105499268
,46,,,46999,4.3088483810424805,
,,0.021810130500843312,0.03,47000,,
,47,,,47999,,4.308917045593262
,47,,,47999,4.308840274810791,
,,0.019635600407127016,0.03,48000,,
,48,,,48999,,4.30889892578125
0.745513916015625,48,,,48999,4.308809757232666,
,,0.01734693875837095,0.03,49000,,
,49,,,49999,,4.308891773223877
,49,,,49999,4.308816432952881,
,,0.01500049999999999,0.03,50000,,
,50,,,50999,,4.308881759643555
,50,,,50999,4.308807849884033,
,,0.012654061241629063,0.03,51000,,
,51,,,51999,,4.308870315551758
,51,,,51999,4.3087968826293945,
,,0.01036539959287297,0.03,52000,,
,52,,,52999,,4.308859825134277
0.721923828125,52,,,52999,4.3087615966796875,
,,0.008190869499156652,0.03,53000,,
,53,,,53999,,4.308852195739746
,53,,,53999,4.308768272399902,
,,0.006184015108239047,0.03,54000,,
,54,,,54999,,4.30884313583374
,54,,,54999,4.3087544441223145,
,,0.004394251835592371,0.03,55000,,
,55,,,55999,,4.308835029602051
,55,,,55999,4.308743476867676,
,,0.002865649592872977,0.03,56000,,
,56,,,56999,,4.3088297843933105
0.7049560546875,56,,,56999,4.308711051940918,
,,0.0016358476404365826,0.03,57000,,
,57,,,57999,,4.308820724487305
,57,,,57999,4.3087239265441895,
,,0.0007351277838308457,0.03,58000,,
,58,,,58999,,4.30881404876709
,58,,,58999,4.308709621429443,
,,0.0001856687352432342,0.03,59000,,
,59,,,59999,,4.308806419372559
,59,,,59999,4.308700084686279,
,,1e-06,0.03,60000,,
,60,,,60999,,4.3087992668151855
0.707366943359375,60,,,60999,4.308666229248047,
,,0.000185668735243231,0.03,61000,,
,61,,,61999,,4.30879545211792
,61,,,61999,4.308684349060059,
,,0.0007351277838308362,0.03,62000,,
,62,,,62999,,4.308788299560547
,62,,,62999,4.3086771965026855,
,,0.0016358476404365638,0.03,63000,,
,63,,,63999,,4.308784008026123
,63,,,63999,4.308665752410889,
,,0.0028656495928729457,0.03,64000,,
,64,,,64999,,4.308775424957275
0.67608642578125,64,,,64999,4.308640480041504,
,,0.004394251835592325,0.03,65000,,
,65,,,65999,,4.308765888214111
,65,,,65999,4.308652400970459,
,,0.006184015108238986,0.03,66000,,
,66,,,66999,,4.3087615966796875
,66,,,66999,4.3086419105529785,
,,0.008190869499156572,0.03,67000,,
,67,,,67999,,4.30875825881958
,67,,,67999,4.3086395263671875,
,,0.01036539959287287,0.03,68000,,
,68,,,68999,,4.308745384216309
0.58746337890625,68,,,68999,4.308615207672119,
,,0.012654061241628944,0.03,69000,,
,69,,,69999,,4.308741092681885
,69,,,69999,4.30863094329834,
,,0.01500049999999985,0.03,70000,,
,70,,,70999,,4.308736324310303
,70,,,70999,4.308619976043701,
,,0.017346938758370786,0.03,71000,,
,71,,,71999,,4.308731555938721
,71,,,71999,4.30861759185791,
,,0.019635600407126832,0.03,72000,,
,72,,,72999,,4.308714866638184
0.658111572265625,72,,,72999,4.308590888977051,
,,0.021810130500843107,0.03,73000,,
,73,,,73999,,4.308711051940918
,73,,,73999,4.308607578277588,
,,0.02381698489176072,0.03,74000,,
,74,,,74999,,4.308707237243652
,74,,,74999,4.308599948883057,
,,0.02560674816440736,0.03,75000,,
,75,,,75999,,4.308703422546387
,75,,,75999,4.308597087860107,
,,0.02713535040712676,0.03,76000,,
,76,,,76999,,4.308687686920166
0.549407958984375,76,,,76999,4.3085713386535645,
,,0.028365152359563158,0.03,77000,,
,77,,,77999,,4.308682918548584
,77,,,77999,4.308586597442627,
,,0.029265872216168876,0.03,78000,,
,78,,,78999,,4.308678150177002
,78,,,78999,4.308584690093994,
,,0.029815331264756485,0.03,79000,,
,79,,,79999,,4.3086748123168945
,79,,,79999,4.308575630187988,
,,0.03,0.03,0,,
,81,,,999,,4.308660984039307
0.723663330078125,81,,,999,4.3085408210754395,
,,0.02981533126475677,0.03,1000,,
