epoch,step,test_accuracy,test_loss,train_accuracy,train_loss,val_accuracy,val_loss
0,99,,,,,0.7801333069801331,0.5002123713493347
0,99,,,0.7908398509025574,0.45871612429618835,,
1,199,,,,,0.7755333185195923,0.4754773676395416
1,199,,,0.8261523246765137,0.39800408482551575,,
2,299,,,,,0.7981333136558533,0.45374810695648193
2,299,,,0.8463476300239563,0.3576653301715851,,
3,399,,,,,0.7546666860580444,0.6073873043060303
3,399,,,0.8643164038658142,0.3224469721317291,,
4,499,,,,,0.7947333455085754,0.5318114161491394
4,499,,,0.8769335746765137,0.298255980014801,,
5,599,,,,,0.7784666419029236,0.5379148721694946
5,599,,,0.8937109112739563,0.2617701590061188,,
6,699,,,,,0.7640666961669922,0.6375296711921692
6,699,,,0.9057812690734863,0.23773536086082458,,
7,799,,,,,0.763533353805542,0.8496164083480835
7,799,,,0.9514453411102295,0.13254575431346893,,
8,899,,,,,0.7608000040054321,1.008800983428955
8,899,,,0.9710351824760437,0.08048596233129501,,
9,999,,,,,0.7571333050727844,1.2641397714614868
9,999,,,0.9822461009025574,0.05167872831225395,,
10,1099,,,,,0.7656000256538391,1.3614976406097412
10,1099,,,0.9871679544448853,0.03770636394619942,,
11,1199,,,,,0.7619333267211914,1.419028401374817
11,1199,,,0.9923632740974426,0.024406375363469124,,
12,1299,,,,,0.7603333592414856,1.5002014636993408
12,1299,,,0.9941796660423279,0.01987534575164318,,
13,1399,,,,,0.7603333592414856,1.533447027206421
13,1399,,,0.9951367378234863,0.016969073563814163,,
14,1499,,,,,0.760533332824707,1.5683338642120361
14,1499,,,0.9953320026397705,0.015909289941191673,,
15,1599,,,,,0.758400022983551,1.6056365966796875
15,1599,,,0.9959375262260437,0.014420994557440281,,
16,1699,,,,,0.7600666880607605,1.5690852403640747
16,1699,,,0.9954687356948853,0.015000448562204838,,
17,1799,,,,,0.7571333050727844,1.6258518695831299
17,1799,,,0.9959375262260437,0.01428919192403555,,
18,1899,,,,,0.7606666684150696,1.5902308225631714
18,1899,,,0.9960741996765137,0.013689707964658737,,
19,1999,,,,,0.7594666481018066,1.6025724411010742
19,1999,,,0.9958593845367432,0.014123554341495037,,
20,2000,0.7628173828125,0.6096094250679016,,,,
