epoch,step,test_accuracy,test_loss,train_accuracy,train_loss,val_accuracy,val_loss
0,49,,,,,0.8098666667938232,0.4566757082939148
0,49,,,0.8130468726158142,0.40731555223464966,,
1,99,,,,,0.8204666376113892,0.4745037853717804
1,99,,,0.8765234351158142,0.29659730195999146,,
2,149,,,,,0.800266683101654,0.5140289068222046
2,149,,,0.910351574420929,0.22761033475399017,,
3,199,,,,,0.8214666843414307,0.4740352928638458
3,199,,,0.9334765672683716,0.17190858721733093,,
4,249,,,,,0.7698000073432922,0.7479650378227234
4,249,,,0.9543359279632568,0.12595492601394653,,
5,299,,,,,0.8018666505813599,0.7574299573898315
5,299,,,0.9829687476158142,0.05190787836909294,,
6,349,,,,,0.8096666932106018,0.8661168217658997
6,349,,,0.9954296946525574,0.017602767795324326,,
7,399,,,,,0.8042666912078857,1.0080574750900269
7,399,,,0.9977734088897705,0.009189670905470848,,
8,449,,,,,0.8051999807357788,1.1190787553787231
8,449,,,0.9984375238418579,0.006212851498275995,,
9,499,,,,,0.8111333250999451,1.0904896259307861
9,499,,,0.9989843964576721,0.0045379833318293095,,
10,549,,,,,0.8116666674613953,1.0850367546081543
10,549,,,0.9990624785423279,0.004077306017279625,,
11,599,,,,,0.8123999834060669,1.0932340621948242
11,599,,,0.9990624785423279,0.004113456234335899,,
12,649,,,,,0.8085333108901978,1.1362736225128174
12,649,,,0.9992578029632568,0.003722188528627157,,
13,699,,,,,0.8088666796684265,1.126448392868042
13,699,,,0.9993359446525574,0.00349497701972723,,
14,749,,,,,0.8088666796684265,1.133721113204956
14,749,,,0.9993359446525574,0.003493929747492075,,
15,799,,,,,0.809066653251648,1.1275608539581299
15,799,,,0.9993749856948853,0.0033531051594763994,,
16,849,,,,,0.8098000288009644,1.1273305416107178
16,849,,,0.9992578029632568,0.0035690059885382652,,
17,899,,,,,0.8089333176612854,1.1262913942337036
17,899,,,0.999218761920929,0.0034309595357626677,,
18,949,,,,,0.8086000084877014,1.1305606365203857
18,949,,,0.9993359446525574,0.003440496977418661,,
19,999,,,,,0.8082000017166138,1.1394898891448975
19,999,,,0.9992578029632568,0.0034761184360831976,,
20,1049,,,,,0.8091999888420105,1.1284778118133545
20,1049,,,0.999218761920929,0.0034133982844650745,,
21,1099,,,,,0.8088666796684265,1.126547932624817
21,1099,,,0.9992578029632568,0.003342333482578397,,
22,1149,,,,,0.8091333508491516,1.130901575088501
22,1149,,,0.9991796612739563,0.0035438130144029856,,
23,1199,,,,,0.8108000159263611,1.1190208196640015
23,1199,,,0.9993359446525574,0.0034149044658988714,,
24,1249,,,,,0.8076666593551636,1.148996114730835
24,1249,,,0.9992578029632568,0.003394064027816057,,
25,1299,,,,,0.8086666464805603,1.1285847425460815
25,1299,,,0.9993359446525574,0.0034138811752200127,,
26,1349,,,,,0.809066653251648,1.1306878328323364
26,1349,,,0.999218761920929,0.0036272599827498198,,
27,1399,,,,,0.8063333630561829,1.1562684774398804
27,1399,,,0.9992969036102295,0.003525701817125082,,
28,1449,,,,,0.8080000281333923,1.1395148038864136
28,1449,,,0.9991796612739563,0.0034332021605223417,,
29,1499,,,,,0.8073333501815796,1.1502443552017212
29,1499,,,0.999218761920929,0.003447690512984991,,
30,1549,,,,,0.807533323764801,1.1339702606201172
30,1549,,,0.9992578029632568,0.003531208261847496,,
31,1599,,,,,0.8090000152587891,1.1265143156051636
31,1599,,,0.999218761920929,0.0035702993627637625,,
32,1649,,,,,0.8089333176612854,1.126413106918335
32,1649,,,0.9993359446525574,0.003435639664530754,,
33,1699,,,,,0.8076666593551636,1.1424301862716675
33,1699,,,0.9992969036102295,0.0034234297927469015,,
34,1749,,,,,0.807533323764801,1.1375211477279663
34,1749,,,0.9993749856948853,0.0032873007003217936,,
35,1799,,,,,0.8089333176612854,1.1258609294891357
35,1799,,,0.9991796612739563,0.003420886117964983,,
36,1849,,,,,0.8095333576202393,1.1280568838119507
36,1849,,,0.999218761920929,0.003488436108455062,,
37,1899,,,,,0.8077999949455261,1.14128577709198
37,1899,,,0.999218761920929,0.0034091779962182045,,
38,1949,,,,,0.8098000288009644,1.1176362037658691
38,1949,,,0.9992578029632568,0.003454487072303891,,
39,1999,,,,,0.8086666464805603,1.1388760805130005
39,1999,,,0.9992578029632568,0.0036014923825860023,,
40,2000,0.798614501953125,0.5117080807685852,,,,
