epoch,step,test_accuracy,test_loss,train_accuracy,train_loss,val_accuracy,val_loss
0,49,,,,,0.7637333273887634,0.48364368081092834
0,49,,,0.7405859231948853,0.5320248603820801,,
1,99,,,,,0.7819333076477051,0.4703468680381775
1,99,,,0.7726953029632568,0.4910268485546112,,
2,149,,,,,0.7705333232879639,0.4972386956214905
2,149,,,0.7795312404632568,0.4768171012401581,,
3,199,,,,,0.7675999999046326,0.48747342824935913
3,199,,,0.7800390720367432,0.4710809588432312,,
4,249,,,,,0.7706000208854675,0.4811936318874359
4,249,,,0.787304699420929,0.46213221549987793,,
5,299,,,,,0.7707333564758301,0.49872007966041565
5,299,,,0.7916796803474426,0.4522995352745056,,
6,349,,,,,0.7910000085830688,0.4528568387031555
6,349,,,0.8062890768051147,0.4342990815639496,,
7,399,,,,,0.7972000241279602,0.445554256439209
7,399,,,0.8055468797683716,0.4258362650871277,,
8,449,,,,,0.7955999970436096,0.43097585439682007
8,449,,,0.8047656416893005,0.4244612157344818,,
9,499,,,,,0.7950666546821594,0.4389198422431946
9,499,,,0.8108593821525574,0.4182937741279602,,
10,549,,,,,0.7964666485786438,0.43782588839530945
10,549,,,0.8116406202316284,0.41645699739456177,,
11,599,,,,,0.7957333326339722,0.4326731860637665
11,599,,,0.8121874928474426,0.4116879999637604,,
12,649,,,,,0.7924666404724121,0.44145911931991577
12,649,,,0.8142187595367432,0.40893787145614624,,
13,699,,,,,0.7942666411399841,0.4389806091785431
13,699,,,0.817187488079071,0.40349942445755005,,
14,749,,,,,0.7918000221252441,0.44356176257133484
14,749,,,0.8198046684265137,0.39971351623535156,,
15,799,,,,,0.7916666865348816,0.43915632367134094
15,799,,,0.8176562786102295,0.40144798159599304,,
16,849,,,,,0.7887333035469055,0.44472891092300415
16,849,,,0.821484386920929,0.3994903564453125,,
17,899,,,,,0.790066659450531,0.4423302710056305
17,899,,,0.8228515386581421,0.3959546685218811,,
18,949,,,,,0.7896000146865845,0.44188204407691956
18,949,,,0.8217577934265137,0.3970448970794678,,
19,999,,,,,0.7898666858673096,0.44191280007362366
19,999,,,0.8189062476158142,0.39887771010398865,,
20,1049,,,,,0.7898666858673096,0.4436747431755066
20,1049,,,0.8211718797683716,0.3974483609199524,,
21,1099,,,,,0.7908666729927063,0.4411942958831787
21,1099,,,0.8193359375,0.39869850873947144,,
22,1149,,,,,0.7896000146865845,0.44173192977905273
22,1149,,,0.821484386920929,0.39666956663131714,,
23,1199,,,,,0.789733350276947,0.44035443663597107
23,1199,,,0.8205468654632568,0.3996577560901642,,
24,1249,,,,,0.7900000214576721,0.44212448596954346
24,1249,,,0.8212890625,0.3997349143028259,,
25,1299,,,,,0.7896666526794434,0.4432673752307892
25,1299,,,0.8209765553474426,0.39821383357048035,,
26,1349,,,,,0.7893333435058594,0.4441206753253937
26,1349,,,0.8199999928474426,0.39827030897140503,,
27,1399,,,,,0.7902666926383972,0.4412625730037689
27,1399,,,0.8204687237739563,0.39847636222839355,,
28,1449,,,,,0.7904666662216187,0.4413919448852539
28,1449,,,0.821484386920929,0.3965189754962921,,
29,1499,,,,,0.7899333238601685,0.4413568675518036
29,1499,,,0.8214452862739563,0.39816513657569885,,
30,1549,,,,,0.7907999753952026,0.4424586594104767
30,1549,,,0.8200390338897705,0.4004988968372345,,
31,1599,,,,,0.7909333109855652,0.4426719546318054
31,1599,,,0.8174999952316284,0.4012749493122101,,
32,1649,,,,,0.7899333238601685,0.44182464480400085
32,1649,,,0.8188281059265137,0.3989362418651581,,
33,1699,,,,,0.7896000146865845,0.4430704712867737
33,1699,,,0.8228906393051147,0.39387890696525574,,
34,1749,,,,,0.7897999882698059,0.44333818554878235
34,1749,,,0.8236718773841858,0.39604803919792175,,
35,1799,,,,,0.7907333374023438,0.44237813353538513
35,1799,,,0.8187109231948853,0.3986588418483734,,
36,1849,,,,,0.7897999882698059,0.4418908953666687
36,1849,,,0.8191797137260437,0.3980279564857483,,
37,1899,,,,,0.7904000282287598,0.4428958594799042
37,1899,,,0.8200390338897705,0.39883965253829956,,
38,1949,,,,,0.7893333435058594,0.44282418489456177
38,1949,,,0.8221484422683716,0.3943118751049042,,
39,1999,,,,,0.7896000146865845,0.4418085515499115
39,1999,,,0.8193359375,0.39721012115478516,,
40,2000,0.788970947265625,0.45987850427627563,,,,
