epoch,step,test_accuracy,test_loss,train_accuracy,train_loss,val_accuracy,val_loss
0,499,,,,,0.76763916015625,0.46343329548835754
0,499,,,0.7797265648841858,0.4730220437049866,,
1,999,,,,,0.794189453125,0.4312586188316345
1,999,,,0.809808611869812,0.4205947518348694,,
2,1499,,,,,0.7926025390625,0.43550294637680054
2,1499,,,0.8245664238929749,0.39492151141166687,,
3,1999,,,,,0.807281494140625,0.4087391793727875
3,1999,,,0.8368086218833923,0.37189146876335144,,
4,2499,,,,,0.8140869140625,0.40780287981033325
4,2499,,,0.8444609642028809,0.3563886284828186,,
5,2999,,,,,0.813568115234375,0.405180424451828
5,2999,,,0.8505195379257202,0.34489545226097107,,
6,3499,,,,,0.815673828125,0.3988717198371887
6,3499,,,0.8567578196525574,0.33267074823379517,,
7,3999,,,,,0.800323486328125,0.46912211179733276
7,3999,,,0.8618632555007935,0.3216511905193329,,
8,4499,,,,,0.810760498046875,0.4358762204647064
8,4499,,,0.8663554787635803,0.3134859800338745,,
9,4999,,,,,0.812744140625,0.4488469362258911
9,4999,,,0.8706992268562317,0.304965078830719,,
10,5499,,,,,0.800750732421875,0.44457578659057617
10,5499,,,0.8742031455039978,0.297903835773468,,
11,5999,,,,,0.82489013671875,0.40423035621643066
11,5999,,,0.8867539167404175,0.27101799845695496,,
12,6499,,,,,0.82464599609375,0.400587260723114
12,6499,,,0.8915625214576721,0.26207438111305237,,
13,6999,,,,,0.82244873046875,0.4144982099533081
13,6999,,,0.8927226662635803,0.25777530670166016,,
14,7499,,,,,0.821380615234375,0.41665202379226685
14,7499,,,0.8947109580039978,0.2559415400028229,,
15,7999,,,,,0.82080078125,0.4171031713485718
15,7999,,,0.8966991901397705,0.2509101629257202,,
16,8499,,,,,0.820709228515625,0.4159349203109741
16,8499,,,0.8966913819313049,0.25132155418395996,,
17,8999,,,,,0.823028564453125,0.41292643547058105
17,8999,,,0.8968164324760437,0.25064000487327576,,
18,9499,,,,,0.82281494140625,0.4147297739982605
18,9499,,,0.8978945016860962,0.2488909363746643,,
19,9999,,,,,0.8212890625,0.41593292355537415
19,9999,,,0.8977187275886536,0.24894356727600098,,
20,10499,,,,,0.823333740234375,0.41450801491737366
20,10499,,,0.8976171612739563,0.24905265867710114,,
21,10999,,,,,0.823638916015625,0.4135766625404358
21,10999,,,0.8978710770606995,0.248209148645401,,
22,11499,,,,,0.822021484375,0.41692787408828735
22,11499,,,0.897167980670929,0.24911092221736908,,
23,11999,,,,,0.822265625,0.41567090153694153
23,11999,,,0.8975039124488831,0.24879109859466553,,
24,12499,,,,,0.821044921875,0.41700026392936707
24,12499,,,0.8979843854904175,0.24816760420799255,,
25,12999,,,,,0.822235107421875,0.4150625169277191
25,12999,,,0.8979296684265137,0.24802081286907196,,
26,13499,,,,,0.823486328125,0.41225960850715637
26,13499,,,0.8980312347412109,0.24837107956409454,,
27,13999,,,,,0.81951904296875,0.42049363255500793
27,13999,,,0.8985664248466492,0.2485070377588272,,
28,14499,,,,,0.8214111328125,0.41797173023223877
28,14499,,,0.8977929949760437,0.24872921407222748,,
29,14999,,,,,0.81976318359375,0.4207073450088501
29,14999,,,0.8973437547683716,0.24861644208431244,,
30,15000,0.8038330078125,0.43206191062927246,,,,
