epoch,step,test_accuracy,test_loss,train_accuracy,train_loss,val_accuracy,val_loss
0,99,,,,,0.8118666410446167,0.3954017460346222
0,99,,,0.7994140386581421,0.4209021031856537,,
1,199,,,,,0.7746666669845581,0.6488622426986694
1,199,,,0.8815234303474426,0.2855818271636963,,
2,299,,,,,0.8036666512489319,0.4554547071456909
2,299,,,0.9069726467132568,0.22859850525856018,,
3,399,,,,,0.8187999725341797,0.49908071756362915
3,399,,,0.927441418170929,0.18565791845321655,,
4,499,,,,,0.7929999828338623,0.5998001098632812
4,499,,,0.9448437690734863,0.1472507119178772,,
5,599,,,,,0.8012666702270508,0.7487787008285522
5,599,,,0.9796289205551147,0.06049541383981705,,
6,699,,,,,0.8112666606903076,0.8581621050834656
6,699,,,0.9920117259025574,0.02641892246901989,,
7,799,,,,,0.803600013256073,1.0597642660140991
7,799,,,0.9959570169448853,0.01442535500973463,,
8,899,,,,,0.8017333149909973,1.1826486587524414
8,899,,,0.9971679449081421,0.010263473726809025,,
9,999,,,,,0.8033999800682068,1.1703920364379883
9,999,,,0.9980859160423279,0.007009608205407858,,
10,1099,,,,,0.8044666647911072,1.1787937879562378
10,1099,,,0.9985547065734863,0.0056448145769536495,,
11,1199,,,,,0.8056666851043701,1.1821266412734985
11,1199,,,0.99853515625,0.005580608267337084,,
12,1299,,,,,0.803933322429657,1.2316899299621582
12,1299,,,0.9986913800239563,0.005150032229721546,,
13,1399,,,,,0.8055333495140076,1.2112118005752563
13,1399,,,0.9986913800239563,0.005019837059080601,,
14,1499,,,,,0.8038666844367981,1.2297685146331787
14,1499,,,0.9987890720367432,0.004540641792118549,,
15,1599,,,,,0.8018666505813599,1.247568964958191
15,1599,,,0.9986913800239563,0.004841766785830259,,
16,1699,,,,,0.8051333427429199,1.2036207914352417
16,1699,,,0.9987499713897705,0.004705693572759628,,
17,1799,,,,,0.8041999936103821,1.2292654514312744
17,1799,,,0.9988086223602295,0.004740203730762005,,
18,1899,,,,,0.8055333495140076,1.2217230796813965
18,1899,,,0.9988476634025574,0.004553238861262798,,
19,1999,,,,,0.8044000267982483,1.2194007635116577
19,1999,,,0.9987499713897705,0.004645935725420713,,
20,2000,0.76519775390625,0.5038774609565735,,,,
