epoch,step,test_accuracy,test_loss,train_accuracy,train_loss,val_accuracy,val_loss
0,99,,,,,0.817799985408783,0.39025211334228516
0,99,,,0.7980077862739563,0.43550819158554077,,
1,199,,,,,0.8060666918754578,0.4259263873100281
1,199,,,0.8382617235183716,0.36541497707366943,,
2,299,,,,,0.7899333238601685,0.4549221098423004
2,299,,,0.8511523604393005,0.3446829617023468,,
3,399,,,,,0.8080666661262512,0.42463418841362
3,399,,,0.8575195074081421,0.33005818724632263,,
4,499,,,,,0.8290666937828064,0.38498520851135254
4,499,,,0.8658593893051147,0.3134773373603821,,
5,599,,,,,0.8353333473205566,0.3825313150882721
5,599,,,0.8705078363418579,0.305881530046463,,
6,699,,,,,0.8183333277702332,0.4017161726951599
6,699,,,0.8764258027076721,0.2939690947532654,,
7,799,,,,,0.8136666417121887,0.4216911196708679
7,799,,,0.8824414014816284,0.2828339636325836,,
8,899,,,,,0.8271999955177307,0.4095253646373749
8,899,,,0.8865429759025574,0.2707225978374481,,
9,999,,,,,0.8080666661262512,0.44864678382873535
9,999,,,0.8890625238418579,0.26742231845855713,,
10,1099,,,,,0.8209999799728394,0.42352262139320374
10,1099,,,0.9102734327316284,0.22422611713409424,,
11,1199,,,,,0.8190666437149048,0.45211726427078247
11,1199,,,0.918261706829071,0.20288939774036407,,
12,1299,,,,,0.817466676235199,0.45537105202674866
12,1299,,,0.923046886920929,0.1946576088666916,,
13,1399,,,,,0.8187999725341797,0.4636385440826416
13,1399,,,0.9264843463897705,0.18964003026485443,,
14,1499,,,,,0.8209333419799805,0.46200552582740784
14,1499,,,0.9291015863418579,0.1800074726343155,,
15,1599,,,,,0.8212666511535645,0.4694756865501404
15,1599,,,0.9312695264816284,0.17533254623413086,,
16,1699,,,,,0.8183333277702332,0.47594964504241943
16,1699,,,0.9329687356948853,0.17486724257469177,,
17,1799,,,,,0.8172666430473328,0.48359715938568115
17,1799,,,0.9343554973602295,0.17085079848766327,,
18,1899,,,,,0.8177333474159241,0.4828827381134033
18,1899,,,0.9336133003234863,0.17205552756786346,,
19,1999,,,,,0.8179333209991455,0.4836345613002777
19,1999,,,0.932910144329071,0.17309081554412842,,
20,2000,0.798248291015625,0.45762330293655396,,,,
