epoch,step,test_accuracy,test_loss,train_accuracy,train_loss,val_accuracy,val_loss
0,99,,,,,0.7771333456039429,0.4771030843257904
0,99,,,0.7894921898841858,0.46684226393699646,,
1,199,,,,,0.7390666604042053,0.5152341723442078
1,199,,,0.8237500190734863,0.40093541145324707,,
2,299,,,,,0.7978666424751282,0.451392263174057
2,299,,,0.8431054949760437,0.36671704053878784,,
3,399,,,,,0.762666642665863,0.5106307864189148
3,399,,,0.8600195050239563,0.330439954996109,,
4,499,,,,,0.8008666634559631,0.4507206678390503
4,499,,,0.8706250190734863,0.3108023405075073,,
5,599,,,,,0.7352666854858398,0.6056520938873291
5,599,,,0.8858398199081421,0.2765231132507324,,
6,699,,,,,0.7509333491325378,0.623444676399231
6,699,,,0.9024999737739563,0.24043363332748413,,
7,799,,,,,0.7850000262260437,0.6417459845542908
7,799,,,0.9173437356948853,0.20781613886356354,,
8,899,,,,,0.7771999835968018,0.6273849010467529
8,899,,,0.929003894329071,0.1798180788755417,,
9,999,,,,,0.7724000215530396,0.9681393504142761
9,999,,,0.9683593511581421,0.08781395107507706,,
10,1099,,,,,0.760866641998291,1.2179222106933594
10,1099,,,0.9831836223602295,0.048813652247190475,,
11,1199,,,,,0.76419997215271,1.3770889043807983
11,1199,,,0.9889843463897705,0.03252796083688736,,
12,1299,,,,,0.7661333084106445,1.4147642850875854
12,1299,,,0.9925195574760437,0.022725438699126244,,
13,1399,,,,,0.7654666900634766,1.5233598947525024
13,1399,,,0.9948046803474426,0.01616068370640278,,
14,1499,,,,,0.7669333219528198,1.5281156301498413
14,1499,,,0.9961327910423279,0.01359601877629757,,
15,1599,,,,,0.7675999999046326,1.559096336364746
15,1599,,,0.9963281154632568,0.01256269309669733,,
16,1699,,,,,0.7683333158493042,1.5398343801498413
16,1699,,,0.9963281154632568,0.011971604079008102,,
17,1799,,,,,0.7674000263214111,1.5678189992904663
17,1799,,,0.9966992139816284,0.011062302626669407,,
18,1899,,,,,0.7670666575431824,1.5601332187652588
18,1899,,,0.9969531297683716,0.010451563633978367,,
19,1999,,,,,0.7681333422660828,1.5536901950836182
19,1999,,,0.9968359470367432,0.010944659821689129,,
20,2000,0.76055908203125,0.5682113170623779,,,,
