epoch,step,test_accuracy,test_loss,train_accuracy,train_loss,val_accuracy,val_loss
0,49,,,,,0.7793999910354614,0.5071091651916504
0,49,,,0.7709375023841858,0.49792587757110596,,
1,99,,,,,0.7896666526794434,0.4711075723171234
1,99,,,0.8098828196525574,0.4225980043411255,,
2,149,,,,,0.7613333463668823,0.506118893623352
2,149,,,0.8288280963897705,0.3911379873752594,,
3,199,,,,,0.7768666744232178,0.47955483198165894
3,199,,,0.8392968773841858,0.37424972653388977,,
4,249,,,,,0.7523999810218811,0.5784432291984558
4,249,,,0.8556249737739563,0.3435531258583069,,
5,299,,,,,0.7960000038146973,0.4492190480232239
5,299,,,0.8715624809265137,0.3113074004650116,,
6,349,,,,,0.7950666546821594,0.5849534869194031
6,349,,,0.8837109208106995,0.28172993659973145,,
7,399,,,,,0.7923333048820496,0.5307658910751343
7,399,,,0.9057031273841858,0.23863224685192108,,
8,449,,,,,0.7620000243186951,0.6883968710899353
8,449,,,0.9172265529632568,0.20987170934677124,,
9,499,,,,,0.7815999984741211,0.6213349103927612
9,499,,,0.9317578077316284,0.17763647437095642,,
10,549,,,,,0.7593333125114441,0.8802542090415955
10,549,,,0.9674218893051147,0.09516522288322449,,
11,599,,,,,0.7644666433334351,1.106561541557312
11,599,,,0.9842968583106995,0.04651973769068718,,
12,649,,,,,0.7639333605766296,1.266281008720398
12,649,,,0.990234375,0.030309908092021942,,
13,699,,,,,0.7706666588783264,1.3433111906051636
13,699,,,0.993359386920929,0.022417627274990082,,
14,749,,,,,0.7651333212852478,1.4085032939910889
14,749,,,0.9953515529632568,0.01570139080286026,,
15,799,,,,,0.7632666826248169,1.4477061033248901
15,799,,,0.9957031011581421,0.014519167132675648,,
16,849,,,,,0.7631999850273132,1.4524798393249512
16,849,,,0.99609375,0.01378481276333332,,
17,899,,,,,0.7642666697502136,1.4689749479293823
17,899,,,0.9963281154632568,0.01322120800614357,,
18,949,,,,,0.7614666819572449,1.4962071180343628
18,949,,,0.9965234398841858,0.011980312876403332,,
19,999,,,,,0.7639999985694885,1.4503684043884277
19,999,,,0.9966015815734863,0.012238716706633568,,
20,1049,,,,,0.76419997215271,1.4598758220672607
20,1049,,,0.9964843988418579,0.011780292727053165,,
21,1099,,,,,0.7651333212852478,1.448074460029602
21,1099,,,0.9966796636581421,0.01189302559942007,,
22,1149,,,,,0.7625333070755005,1.4746378660202026
22,1149,,,0.9966406226158142,0.011861017905175686,,
23,1199,,,,,0.7644666433334351,1.4604088068008423
23,1199,,,0.9966015815734863,0.012145093642175198,,
24,1249,,,,,0.7635999917984009,1.473960518836975
24,1249,,,0.9966015815734863,0.012130942195653915,,
25,1299,,,,,0.7634666562080383,1.4802428483963013
25,1299,,,0.9966796636581421,0.011964833363890648,,
26,1349,,,,,0.7639999985694885,1.468611240386963
26,1349,,,0.9967578053474426,0.012080663815140724,,
27,1399,,,,,0.7646666765213013,1.45662522315979
27,1399,,,0.9966406226158142,0.011859644204378128,,
28,1449,,,,,0.7649333477020264,1.4601149559020996
28,1449,,,0.9964843988418579,0.01224822923541069,,
29,1499,,,,,0.7645333409309387,1.4680864810943604
29,1499,,,0.9967968463897705,0.0117179024964571,,
30,1549,,,,,0.7635999917984009,1.4703038930892944
30,1549,,,0.9964843988418579,0.012381144799292088,,
31,1599,,,,,0.7622666954994202,1.47538161277771
31,1599,,,0.9967578053474426,0.011670746840536594,,
32,1649,,,,,0.7633333206176758,1.474687933921814
32,1649,,,0.9963281154632568,0.01234239712357521,,
33,1699,,,,,0.7609999775886536,1.5012890100479126
33,1699,,,0.9967187643051147,0.012267732992768288,,
34,1749,,,,,0.7629333138465881,1.4720436334609985
34,1749,,,0.9964452981948853,0.012169363908469677,,
35,1799,,,,,0.7634666562080383,1.467858076095581
35,1799,,,0.9966015815734863,0.01245578657835722,,
36,1849,,,,,0.7639333605766296,1.4654537439346313
36,1849,,,0.9966015815734863,0.012139246799051762,,
37,1899,,,,,0.7641333341598511,1.4683406352996826
37,1899,,,0.9969921708106995,0.011306142434477806,,
38,1949,,,,,0.7631999850273132,1.4739878177642822
38,1949,,,0.9966015815734863,0.011845340952277184,,
39,1999,,,,,0.7629333138465881,1.4802228212356567
39,1999,,,0.9964452981948853,0.012100770138204098,,
40,2000,0.777618408203125,0.525083601474762,,,,
